original_commit,original_branch,Backport Commit,backport_branch
99299a916d8a135e3d75126ac97fd6568db6096d,main,b0aa5cbf88deefdbfcda059eb053030a2c556ba0,7.2
6da1282e7030eb4539a31783172c75c9d04ca568,main,eafaf38201a0fcaa5e20c448b1ec21531be697a4,7.1
a7298f17a465bb0102241f22b26a915a08d9a997,main,af23f46702f54c237247e8b3823a6931c07101cb,7.1
682198d1c9fe60591d4f94786182fd0ccaa9483e,main,4d6911b6b6fb01161918a47858059a26238173ab,7.2
94c955b951e09d132f370278014eb676d4860338,main,36f5bc0f2fae009cdb67b037844f4301c78c51b5,7.2
0fef0e440dbb732b5919c63c6ef14582010edcf2,main,6c569a573b19959029f9fc78189693cbb19c8458,6.6
a6c2485121c14c77ccbe0df86fc1701db39e6e76,main,727e44fdfe565cf5523e40e4f0c083c28b736bc9,7.1
95c7bc6674f65af0742501d534b9656a5159b9b3,main,aca8b4d2c11deb6d16053ecd808b5d92f43ba636,6.6
6cfdc641535daf0b43f7b75c66b6998164f53f88,main,5dd29f8a006df9bf7accc848a208e6256b7790bf,6.6
eacb8361af412dbcc3ea92eb9dd21ed6e29cfbdc,main,482d095f361ef78def0b1f0d07c464287d41578e,7.1
106200b7f3a7d1d12e070204c65c1ae3de984d4d,main,6da2e5e11ff10b02afe8c6bbfb03e4579259f907,6.6
72dae39eb4590ed1d012dac9ee6c992328742a0d,main,cfd54a41298ae8b529a24a83435f0916f256b1ee,6.6
d9af3e362211daca62335fc29dd487858b6ce8e7,main,b7d2fd110fe68d6e455275c4dfbaac064ea02b0a,6.6
b78f80fee466cc50fe2a86a1b6b8a6b9579fa931,main,794eea15d277074b001d5b129e710263cb554287,7.1
d9af3e362211daca62335fc29dd487858b6ce8e7,main,4cedcfe08e54b072001cba584bdc89d1626545d8,7.1
f292908b67af48f0403c63b2e3b524c1c4bc8dfb,main,7a05b75767c972db5c898357b68a7e5677fa96c7,6.5
0538a5613fa03d58de11417c189378079ba5bc2c,main,dfe9bd49ddab14f3c6b769900574ec24b1e49868,7.1
3bc7603efdc7fa26240b77bb8047958f8b312ddf,main,9df82f745cdb19e4dd0656a98b793f477042f17b,7.1
a98169ab283a7c8883c47620279a67f79330ff54,main,5d482a2d9ad53da7b5c86049f44ce3c85e259086,6.6
c3e819ff4ee5309b38c79a1cb97d7f691779593b,main,a04f801aa16eb27a44ea20fbf26f276774313b63,7.1
411bae9ee6d2dd5d7b380285fc4e3271694013be,main,6896e173af40b2218ab3bfbb4ebddf3df94efea4,6.6
38777d888d4bb13fa453dfe2ad9963e0bba51b51,main,a750aa515d60d1302eb37467c1495047ff91b096,7.1
3d1dc3b8e482cb5f940d065cae7e837b1cffa4b9,main,0de6de841f20924548607afdef87214b5f3eaab5,6.6
009f6b10efe0e93a49edcad3c144d662b506bf74,main,9484c66b615d213849aca20d40baca6cfe9fd4d8,7.1
e80b996530d341673f2ecffdd5eb69c1fd39b044,main,8cacf987dd32ce32f47eae3da1143162ac9500b6,6.6
a3ad85d4ce2e3cbebf2ca172d4acd7fa59e92122,main,4dbbb41a4307da137138feb528edd7f648779333,6.6
bd09c96f312c106147dffbdf8b8d4f0768e7b688,main,012699991469089577a569c3b16e267d2e2620c2,7.1
faf361b0787caae81d45a05f25d3f429b1597370,main,1df68f01f1bc60cd8895df94f88b137e3a9bf4d1,7.1
f36b06c6ddf9955a451f5d46239557f93b255829,main,c97bd5424e9a671bc93b49ae4c1362e536fd252f,7.1
69544015ec328418088855d59fc2db78065b9d29,main,900cbe8ac30689c50d326c963958c371b88092b0,7.1
bc2ea33203c0fcfe675a3304442659070f7abf98,main,a485efac9ce34a0f20439c5e477275e9d198595a,7.1
1c76f926d0d9e78dd4626ff75ab7bd80d14aaa30,main,3ee8433e178af929ff8144dde4d2fb8c3033cf98,7.1
04a15cef1b5ddbd81d6b04ffd268c01e62fadcdd,main,5c9da44cc1429cf1f56293f4036ea8eb1d236e1c,6.6
b7bd3458fdf0b347c82064427567daa29e45d649,main,31cc6f8863ac66ddcd1d12f571f459450e48f524,7.1
c5e483e58ca6536b0f6567a68cb7e9b3dc8bb968,main,e343d19b87ab35f81f3838095516c3b3114ffb0d,7.1
